"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"2371854";"LCBAC";"0025833";"G";"9076-1446";"O";"Enbrel sol. inj. s.c. [ser. préremplie] 4x 25mg/0,5ml";;"00078";;4;"x";;;;;0.0000;;;;"R";"b4";235.1100;;;;;"sol. inj. s.c. [ser. préremplie]";302.5000;12.1000;8.0000;"11510";"étanercept injection 25 mg / 0,5 ml [NOVOS: biologique]";false;true;;false;false;false;true;false
"0829770";"AHCCA";"0001222";"B";"25742-1289";"O";"Tambocor sol. inj./perf. i.v. [amp.] 5x 150mg/15ml";;"00046";;5;"x";;;;;0.0000;;;;"R";"b";31.2700;;;;;"sol. inj./perf. i.v. [amp.]";161.8000;8.0900;4.8200;"12971";"flécaïnide injection/perfusion 150 mg / 15 ml [no switch: marge TT étroite]";false;false;;true;false;false;true;false
"4570123";"ALAB";"0001578";"G";"46458-2485";"O";"Pravastatin AB compr. (séc.) 98x 20mg";;"00019";;98;"x";;;;;0.0000;;;;"R";"a4 b";17.7200;;;;;"compr. (séc.)";4.2700;4.1800;2.5100;"26278";"pravastatine oral 20 mg";false;true;;true;false;false;true;false
"2371862";"LCBAC";"0025833";"G";"9076-1446";"O";"Enbrel sol. inj. s.c. [ser. préremplie] 4x 50mg/1ml";;"00078";;4;"x";;;;;0.0000;;;;"R";"b4";463.7200;;;;;"sol. inj. s.c. [ser. préremplie]";302.5000;12.1000;8.0000;"11536";"étanercept injection 50 mg / 1 ml [NOVOS: biologique]";false;true;;false;false;false;true;false
"2587244";"GBAC";"0006213";;"25841-1818";"O";"Tamsulosine Teva gél. lib. modif. 200x 0,4mg";;"00300";;200;"x";;;;;0.0000;;;;"R";;53.0000;;;;;"gél. lib. modif.";26.5000;53.0000;53.0000;"29710";"tamsulosine oral (libér. modifiée) 0,4 mg";false;false;;false;false;false;true;false
"2689974";"NAAAD";"0013318";;"25882-1545";"O";"Tardyferon compr. lib. prol. 30x 80mg";;"00056";;30;"x";;;;;0.0000;;;;"R";;9.8900;;;;;"compr. lib. prol.";32.9700;9.8900;9.8900;"16501";"fer(II) oral (libér. modifiée) 80 mg";false;false;;false;false;false;true;false
"0037317";"DCAAA";"0004127";;"8193-596";"O";"Dopram sol. inj./perf. i.v. [amp.] 5x5ml 20mg/1ml";;"00046";;5;"x";5.0000;"ml";;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. i.v. [amp.]";0.0000;0.0000;0.0000;"9852";"doxapram injection/perfusion 20 mg / 1 ml";false;false;;false;false;false;true;false
"2329969";"HBBA";"0006452";;"2220-299";"O";"Aspirine compr. efferv. 36x 500mg";;"00278";;36;"x";;;;;0.0000;;;;;;10.7300;;;;;"compr. efferv.";29.8100;10.7300;10.7300;"398";"acide acétylsalicylique oral 500 mg";false;false;;false;false;false;true;false
"1445170";"KAEB";"0010181";"G";"25965-2097";"O";"Tavanic compr. pellic. (séc.) 10x 500mg";;"00043";;10;"x";;;;;0.0000;;;;"R";"c4";19.1400;;;;;"compr. pellic. (séc.)";93.1000;9.3100;9.3100;"19083";"lévofloxacine oral 500 mg";false;true;;true;false;false;true;false
"2173391";"AADE";"0000158";"G";"25999-2097";"U";"Tazko 5/5 compr. lib. prol. 98x";;"00056";;98;"x";;;;;0.0000;;;;"R";"b";34.4800;;;;;"compr. lib. prol.";9.0300;8.8500;5.2600;"12294";"ramipril + félodipine oral (libér. modifiée) 5 mg + 5 mg";false;true;;true;false;false;true;false
"4242426";"DAFA";"0028613";"B";"43562-1347";"U";"Enerzair 114/46/136 poudre inhal. (gél.) Breezhaler 90x";;"00461";;90;"x";;;;;0.0000;;;;"R";"b";163.4000;;"+ 1 Breezhaler";asthme, traitement d'entretien de la forme sévère chez l'adulte: 1 gél. 1 x p.j.;;"poudre inhal. (gél.) Breezhaler";16.6700;15.0000;9.9000;"44628";"indacatérol + glycopyrronium + mométasone inhalé 114 µg + 46 µg + 136 µg [no switch: inhalation]";false;false;;true;false;false;true;false
"4360038";"MBAA";"0013201";;"46912-1651";"O";"Enhertu sol. perf. à diluer (pdr) i.v. [flac.] 1x 100mg";;"00083";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer (pdr) i.v. [flac.]";0.0000;0.0000;0.0000;"47381";"trastuzumab déruxtécan perfusion 100 mg [NOVOS: biologique]";true;false;;false;false;false;true;false
"3277076";"ACBA";"0025684";"B";"33365-1347";"U";"Entresto 24/26 compr. pellic. 28x";;"00004";;28;"x";;;;;0.0000;;;;"R";"b4";68.8300;;;;;"compr. pellic.";43.2100;12.1000;8.0000;"36616";"sacubitril + valsartan oral 24 mg + 26 mg";false;false;;true;false;false;true;false
"4160107";"ACBA";"0025684";"B";"33365-1347";"U";"Entresto 49/51 compr. pellic. 168x";;"00004";;168;"x";;;;;0.0000;;;;"R";"b4";362.1000;;;;;"compr. pellic.";8.9300;15.0000;9.9000;"36624";"sacubitril + valsartan oral 49 mg + 51 mg";false;false;;true;false;false;true;false
"4570115";"ALAB";"0001578";"G";"46458-2485";"O";"Pravastatin AB compr. (séc.) 28x 20mg";;"00019";;28;"x";;;;;0.0000;;;;"R";"a4 b";8.8100;;;;;"compr. (séc.)";4.1400;1.1600;0.7000;"26278";"pravastatine oral 20 mg";false;true;;true;false;false;true;false
"3678059";"CAABD";"0002584";"G";"20784-1529";"O";"Pantoprazole EG (PI-Pharma) compr. gastro-résist. 98x 20mg";;"00059";;98;"x";;;;;0.0000;;;;"R";"b2";15.7700;;"importation parallèle";;;"compr. gastro-résist.";3.5900;3.5200;2.1100;"24646";"pantoprazole oral 20 mg";false;true;;true;false;false;true;false
"4570131";"ALAB";"0001578";"G";"46458-2485";"O";"Pravastatin AB compr. (séc.) 98x 40mg";;"00019";;98;"x";;;;;0.0000;;;;"R";"a4 b";30.4900;;;;;"compr. (séc.)";8.0700;7.9100;4.7000;"26302";"pravastatine oral 40 mg";false;true;;true;false;false;true;false
"3277084";"ACBA";"0025684";"B";"33365-1347";"U";"Entresto 49/51 compr. pellic. 56x";;"00004";;56;"x";;;;;0.0000;;;;"R";"b4";127.7500;;;;;"compr. pellic.";21.6100;12.1000;8.0000;"36624";"sacubitril + valsartan oral 49 mg + 51 mg";false;false;;true;false;false;true;false
"0106591";"JAAM";"0007617";;"26245-1446";"O";"Temesta lyophilisat Expidet 50x 1mg";;"00558";;50;"x";;;;;0.0000;;;;"R";;18.9700;;;;;"lyophilisat Expidet";37.9400;18.9700;18.9700;"19802";"lorazépam oral 1 mg";false;false;;false;false;false;true;false
"4160099";"ACBA";"0025684";"B";"33365-1347";"U";"Entresto 97/103 compr. pellic. 168x";;"00004";;168;"x";;;;;0.0000;;;;"R";"b4";362.1000;;;;;"compr. pellic.";8.9300;15.0000;9.9000;"36632";"sacubitril + valsartan oral 97 mg + 103 mg";false;false;;true;false;false;true;false
"2103281";"GBAD";"0006221";"G";"26351-182";"O";"Terazosab compr. 10x 1mg";;"00007";;10;"x";;;;;0.0000;;;;"R";"b4";6.4200;;;;;"compr.";2.6000;0.2600;0.1500;"30056";"térazosine oral 1 mg";false;true;;true;false;false;true;false
"4148763";"KBDA";"0010538";"G";"40824-2485";"O";"Terbinafin AB compr. (séc.) 14x 250mg";;"00019";;14;"x";;;;;0.0000;;;;"R";"b";19.4400;;;;;"compr. (séc.)";34.0000;4.7600;2.8600;"30106";"terbinafine oral 250 mg";false;true;;true;false;false;true;false
"2896199";"KBDA";"0010538";"G";"26427-1289";"O";"Terbinafine Viatris compr. (séc.) 98x 250mg";;"00019";;98;"x";;;;;0.0000;;;;"R";"b";77.8600;;;;;"compr. (séc.)";15.3100;15.0000;9.9000;"30106";"terbinafine oral 250 mg";false;true;;true;false;false;true;false
"0133686";"JCBAD";"0016642";"B";"26948-182";"O";"Tofranil compr. enr. 60x 10mg";;"00040";;60;"x";;;;;0.0000;;;;"R";"b";7.0700;;;;;"compr. enr.";0.8500;0.5100;0.3000;"16576";"imipramine oral 10 mg";false;false;;true;false;false;true;false
"1573708";"JGADA";"0008797";"G";"26989-935";"O";"Topamax gél. 60x 15mg";;"00012";;60;"x";;;;;0.0000;;;;"R";"a4";11.2400;;;;;"gél.";0.0000;0.0000;0.0000;"30890";"topiramate oral 15 mg [no switch: antiépileptique]";false;true;;true;false;false;true;false
"2893618";"ALAA";"0001552";"G";"27094-1289";"O";"Totalip compr. pellic. 30x 20mg";;"00004";;30;"x";;;;;0.0000;;;;"R";"a4 b";11.6800;;;;;"compr. pellic.";7.1000;2.1300;1.2800;"2469";"atorvastatine oral 20 mg";false;true;;true;false;false;true;false
"1280379";"HCAM";"0006619";"G";"27201-1289";"O";"Tradonal gtts sol. (flac. compte-gouttes) 30ml 100mg/1ml";;"00347";;1;"x";30.0000;"ml";;;0.0000;;;;"R";"b";11.1900;;"1 ml = 40 gouttes = 100 mg";;;"gtts sol. (flac. compte-gouttes)";6.5700;1.9700;1.1800;"31104";"tramadol oral 100 mg / 1 ml";false;true;;true;false;false;true;false
"3277092";"ACBA";"0025684";"B";"33365-1347";"U";"Entresto 97/103 compr. pellic. 56x";;"00004";;56;"x";;;;;0.0000;;;;"R";"b4";127.7500;;;;;"compr. pellic.";21.6100;12.1000;8.0000;"36632";"sacubitril + valsartan oral 97 mg + 103 mg";false;false;;true;false;false;true;false
"2159929";"ADABC";"0000471";"G";"27052-1636";"O";"Torasemide Sandoz compr. (séc.) 30x 5mg";;"00019";;30;"x";;;;;0.0000;;;;"R";"b";8.1900;;;;;"compr. (séc.)";3.1700;0.9500;0.5700;"31013";"torasémide oral 5 mg";false;true;;true;false;false;true;false
"4165692";"ACBA";"0025684";"B";"33365-3269";"U";"Entresto (Abacus) 49/51 compr. pellic. 56x";;"00004";;56;"x";;;;;0.0000;;;;"R";"b4";127.7500;;"distribution parallèle";;;"compr. pellic.";21.6100;12.1000;8.0000;"36624";"sacubitril + valsartan oral 49 mg + 51 mg";false;false;;true;false;false;true;false
"1286145";"ONEA";"0014811";;"1065-1750";"O";"Allevyn pansement Adhesive 10x (17,5x17,5cm)";;"00606";;10;"x";;;;;0.0000;;;;;"4";74.7900;;;;;"pansement Adhesive";747.9000;74.7900;74.7900;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"4165684";"ACBA";"0025684";"B";"33365-3269";"U";"Entresto (Abacus) 97/103 compr. pellic. 56x";;"00004";;56;"x";;;;;0.0000;;;;"R";"b4";127.7500;;"distribution parallèle";;;"compr. pellic.";21.6100;12.1000;8.0000;"36632";"sacubitril + valsartan oral 97 mg + 103 mg";false;false;;true;false;false;true;false
"1784099";"HCAM";"0006619";"G";"27284-1636";"O";"Tramadol Sandoz compr. lib. prol. 60x 100mg";;"00056";;60;"x";;;;;0.0000;;;;"R";"b";13.7400;;;;;"compr. lib. prol.";4.7200;2.8300;1.7000;"31138";"tramadol oral (libér. modifiée) 100 mg [2 mmt d'admin./j.]";false;true;;true;false;false;true;false
"2308443";"HCAA";"0006635";"G";"27342-810";"O";"Transtec dispositif transderm. 10x 35µg/1h";;"00177";;10;"x";;;;;0.0000;;;;"R";"b";35.0800;;"assimilé aux stupéfiants";;;"dispositif transderm.";89.9000;8.9900;5.3500;"4531";"buprénorphine dispositif transdermique 35 µg / 1 h [VOS!: stupéfiant+, no switch: transdermique]";false;true;;true;true;false;true;false
"0835066";"OBEB";"0014340";"B";"27383-299";"U";"Travocort 1/10 crème 15g";;"00048";;1;"x";15.0000;"g";;;0.0000;;;;"R";"b";7.8700;;;;;"crème";5.4700;0.8200;0.4900;"9225";"diflucortolone valérate + isoconazole nitrate crème cutané 1 mg + 10 mg / 1 g [no switch: local]";false;false;;true;false;false;true;false
"3069416";"JCDD";"0008136";"G";"27409-612";"O";"Trazodone EG compr. (séc. en 4) 90x 100mg";;"00150";;90;"x";;;;;0.0000;;;;"R";"b";11.6700;;;;;"compr. (séc. en 4)";2.3700;2.1300;1.2800;"31336";"trazodone oral 100 mg";false;true;;true;false;false;true;false
"0090225";"CHAA";"0003483";;"27466-2014";"U";"TriAnal 0,25/50 pommade cut./rect. 20g";;"00234";;1;"x";20.0000;"g";;;0.0000;;;;;;10.4500;;;;;"pommade cut./rect.";52.2500;10.4500;10.4500;"19430";"lidocaïne chlorhydrate + triamcinolone acétonide pommade cutané/rectal 50 mg + 0,25 mg / 1 g [no switch: local]";false;false;;false;false;false;true;false
"0430660";"AGAH";"0000976";"G";"27615-2097";"O";"Tritace compr. (séc.) 28x 2,5mg";;"00019";;28;"x";;;;;0.0000;;;;"R";"b";9.2100;;;;;"compr. (séc.)";4.6400;1.3000;0.7800;"27185";"ramipril oral 2,5 mg";false;true;;true;false;false;true;false
"1463058";"SCA";"0016345";;"27714-2162";"O";"Tuberculin PPD RT23 SSI sol. inj. i.derm. [flac.] 10x1,5ml 10TU/0,1ml";;"00443";;10;"x";1.5000;"ml";;;0.0000;;;;"R";;247.9900;;;;;"sol. inj. i.derm. [flac.]";1653.2700;247.9900;247.9900;"14605";"tuberculine injection 10 TU / 0,1 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"4156444";"LCBGGA";"0021345";;"31070-3269";"O";"Entyvio (Abacus) sol. perf. à diluer (pdr) i.v. [flac.] 1x 300mg";;"00083";;1;"x";;;;;0.0000;;;;;;0.0000;"H";"distribution parallèle";;;"sol. perf. à diluer (pdr) i.v. [flac.]";0.0000;0.0000;0.0000;"34330";"védolizumab perfusion 300 mg [NOVOS: biologique]";false;false;;false;false;false;true;false
"3148574";"LCBGGA";"0021345";;"31070-1800";"O";"Entyvio sol. perf. à diluer (pdr) i.v. [flac.] 1x 300mg";;"00083";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer (pdr) i.v. [flac.]";0.0000;0.0000;0.0000;"34330";"védolizumab perfusion 300 mg [NOVOS: biologique]";false;false;;false;false;false;true;false
"0833327";"SAACA";"0016246";"B";"37929-299";"O";"Ultravist 300 mg/1 ml sol. inj./perf./instill. i.v./i.artér./i.utér. [flac.] 1x 62,3g/100ml";;"00091";;1;"x";;;;;0.0000;;;;"R";"b";38.1200;;;;;"sol. inj./perf./instill. i.v./i.artér./i.utér. [flac.]";971.0000;9.7100;5.7700;"17871";"iopromide injection/perfusion/instillation 623 mg / 1 ml";false;false;;true;false;false;true;false
"0833285";"SAACA";"0016246";"B";"37929-299";"O";"Ultravist 300 mg/1 ml sol. inj./perf./instill. i.v./i.artér./i.utér. [flac.] 1x 6,2g/10ml";;"00091";;1;"x";;;;;0.0000;;;;"R";"b";9.7800;;;;;"sol. inj./perf./instill. i.v./i.artér./i.utér. [flac.]";149.0000;1.4900;0.9000;"17871";"iopromide injection/perfusion/instillation 623 mg / 1 ml";false;false;;true;false;false;true;false
"3550613";"JAAA";"0007484";;"1248-1636";"O";"Alprazolam Sandoz compr. (séc.) 60x 0,25mg";;"00019";;60;"x";;;;;0.0000;;;;"R";;6.9100;;;;;"compr. (séc.)";11.5200;6.9100;6.9100;"1214";"alprazolam oral 0,25 mg";false;false;;false;false;false;true;false
"3499415";"KAAACA";"0009530";;"44578-1941";"O";"Delamoxyle sol. inj./perf. (pdr) i.m./i.v. [flac.] 10x 1g";;"00042";;10;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj./perf. (pdr) i.m./i.v. [flac.]";0.0000;0.0000;0.0000;"1834";"amoxicilline injection/perfusion 1 g";false;false;;true;false;false;true;false
"0094086";"KAKBA";"0010074";"B";"27995-2022";"O";"Urfamycine sol. inj./instill. (pdr+solv.) i.m./i.v./i.vésic./endotrach./i.périt./i.pleur. [flac.+amp.] 3x 500mg";;"00323";;3;"x";;;;"s";5.0000;"ml";;;"R";"b";18.0400;;;;;"sol. inj./instill. (pdr + solv.) i.m./i.v./i.vésic./endotrach./i.périt./i.pleur. [flac. + amp.]";142.6700;4.2800;2.5700;"30338";"thiamphénicol injection/instillation 500 mg";false;false;;true;false;false;true;false
"3270188";"KDFA";"8900227";"G";"33316-1636";"O";"Valganciclovir Sandoz compr. pellic. 90x 450mg";;"00004";;90;"x";;;;;0.0000;;;;"R";"a4 b4";830.0400;;;;;"compr. pellic.";16.6700;15.0000;9.9000;"31732";"valganciclovir oral 450 mg";false;true;;true;false;false;true;false
"2732691";"AGBG";"0001065";"G";"28290-612";"O";"Valsartan EG compr. pellic. (séc.) 98x 160mg";;"00043";;98;"x";;;;;0.0000;;;;"R";"b";24.1000;;;;;"compr. pellic. (séc.)";6.5400;6.4100;3.8200;"31864";"valsartan oral 160 mg";false;true;;true;false;false;true;false
"3026572";"AGBG";"0001065";"G";"32193-2303";"O";"Valsartan Krka compr. pellic. (séc.) 28x 80mg";;"00043";;28;"x";;;;;0.0000;;;;"R";"b";12.4900;;;;;"compr. pellic. (séc.)";8.6100;2.4100;1.4500;"31906";"valsartan oral 80 mg";false;true;;true;false;false;true;false
"2748192";"AGBG";"0001065";"G";"28316-1636";"O";"Valsartan Sandoz compr. pellic. (séc.) 98x 320mg";;"00043";;98;"x";;;;;0.0000;;;;"R";"b";26.7900;;;;;"compr. pellic. (séc.)";7.1800;7.0400;4.1900;"31872";"valsartan oral 320 mg";false;true;;true;false;false;true;false
"3634177";"FCBAA";"0005702";;"41848-2469";"U";"Velbienne 1/2 compr. pellic. 6x28";;"00004";;6;"x";28.0000;"x";;;0.0000;;;;"R";;58.2500;;"pas d'interruption entre les cycles de traitement";;;"compr. pellic.";34.6700;58.2500;58.2500;"38281";"estradiol + diénogest oral 1 mg + 2 mg";false;false;;false;false;false;true;false
"4301693";"LCBGGA";"0021345";"B";"31070-1800";"O";"Entyvio sol. inj. s.c. [stylo prérempli] 2x 108mg/0,68ml";;"00080";;2;"x";;;;;0.0000;;;;"R";"b4";935.6000;;;;;"sol. inj. s.c. [stylo prérempli]";605.0000;12.1000;8.0000;"45096";"védolizumab injection 108 mg / 0,68 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"2709756";"KAJB";"0018036";"G";"28365-1636";"O";"Vancomycine Sandoz sol. perf. à diluer (pdr) i.v. [flac.] 10x 1000mg";;"00083";;10;"x";;;;;0.0000;;;;"R";"a4 b4";163.1200;;;;;"sol. perf. à diluer (pdr) i.v. [flac.]";121.0000;12.1000;8.0000;"31914";"vancomycine perfusion 1 000 mg";false;true;;true;false;false;true;false
"2975910";"ONEA";"0014811";;"31971-2295";"O";"Suprasorb P pansement Auto-adhésif 5x (15x20cm)";;"00633";;5;"x";;;;;0.0000;;;;;"4";47.5600;;;;;"pansement Auto-adhésif";951.2000;47.5600;47.5600;"34306";"pansements actifs [NOVOS: pansement actif]";false;false;;false;false;false;true;false
"3532579";"KAAADA";"0009548";"G";"37838-2485";"U";"Amoxicillin/Clavulanic Acid AB 500/125 compr. pellic. 16x";;"00004";;16;"x";;;;;0.0000;;;;"R";"c";10.7100;;;;;"compr. pellic.";22.6300;3.6200;3.6200;"1909";"amoxicilline + acide clavulanique oral 500 mg + 125 mg";false;true;;true;false;false;true;false
"0094987";"DAAAA";"0003566";"G";"28621-828";"O";"Ventolin sol. inhal. nébul. [flac. compte-gouttes] 1x10ml 5mg/1ml";;"00531";;1;"x";10.0000;"ml";;;0.0000;;;;"R";"b";7.4800;;;;;"sol. inhal. nébul. [flac. compte-gouttes]";6.7000;0.6700;0.4000;"28282";"salbutamol inhalé 5 mg / 1 ml [no switch: inhalation]";false;true;;true;false;false;true;false
"3022522";"GCAB";"0019430";;"28688-1289";"O";"Verventi compr. pellic. 12x 100mg";;"00004";;12;"x";;;;;0.0000;;;;"R";;29.9700;;;;;"compr. pellic.";249.7500;29.9700;29.9700;"28647";"sildénafil oral 100 mg";false;false;;false;false;false;true;false
"2445922";"GAAG";"0006122";"G";"28704-240";"O";"Vesicare compr. pellic. 90x 10mg";;"00004";;90;"x";;;;;0.0000;;;;"R";"b4";37.9500;;;;;"compr. pellic.";10.7400;9.6700;5.7500;"28894";"solifénacine oral 10 mg";false;true;;true;false;false;true;false
"0867713";"KACA";"0009910";"G";"28761-1446";"O";"Vibratab compr. (séc.) 10x 100mg";;"00019";;10;"x";;;;;0.0000;;;;"R";"c";7.6300;;;;;"compr. (séc.)";14.5000;1.4500;1.4500;"9969";"doxycycline oral 100 mg";false;true;;true;false;false;true;false
"4297081";"LCBGGA";"0021345";"B";"31070-1800";"O";"Entyvio sol. inj. s.c. [stylo prérempli] 6x 108mg/0,68ml";;"00080";;6;"x";;;;;0.0000;;;;"R";"b4";2783.1300;;;;;"sol. inj. s.c. [stylo prérempli]";201.6700;12.1000;8.0000;"45096";"védolizumab injection 108 mg / 0,68 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"4297073";"LCBGGA";"0021345";"B";"31070-1800";"O";"Entyvio sol. inj. s.c. [ser. préremplie] 2x 108mg/0,68ml";;"00078";;2;"x";;;;;0.0000;;;;"R";"b4";935.6000;;;;;"sol. inj. s.c. [ser. préremplie]";605.0000;12.1000;8.0000;"45096";"védolizumab injection 108 mg / 0,68 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"4301685";"LCBGGA";"0021345";"B";"31070-1800";"O";"Entyvio sol. inj. s.c. [ser. préremplie] 6x 108mg/0,68ml";;"00078";;6;"x";;;;;0.0000;;;;"R";"b4";2783.1300;;;;;"sol. inj. s.c. [ser. préremplie]";201.6700;12.1000;8.0000;"45096";"védolizumab injection 108 mg / 0,68 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"0099945";"AKB";"0001529";;"620-1248";"O";"Aethoxysklerol 0,5 % sol. inj. i.v./s.muq. [amp.] 5x 10mg/2ml";;"00288";;5;"x";;;;;0.0000;;;;"R";;24.2400;;;;;"sol. inj. i.v./s.muq. [amp.]";484.8000;24.2400;24.2400;"25932";"polidocanol injection 10 mg / 2 ml";false;false;;false;false;false;true;false
"3597507";"GCCA";"0006320";;"29306-3574";"O";"Vytaros 3 mg/1 g crème urétr. (unidose) 4x 300µg/100mg";;"00669";;4;"x";;;;;0.0000;;;;"R";;52.0000;;;;;"crème urétr. (unidose)";1300.0000;52.0000;52.0000;"34660";"alprostadil urétral 300 µg / 100 mg [no switch: local]";false;false;;false;false;false;true;false
"3479037";"KDEF";"0026161";;"33720-794";"U";"Epclusa 400/100 compr. pellic. 28x";;"00004";;28;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"compr. pellic.";0.0000;0.0000;0.0000;"36988";"sofosbuvir + velpatasvir oral 400 mg + 100 mg";false;false;;true;false;false;true;false
"3919230";"KDEF";"0026161";;"33720-3269";"U";"Epclusa (Abacus) 400/100 compr. pellic. 28x";;"00004";;28;"x";;;;;0.0000;;;;;;0.0000;"H";"distribution parallèle";;;"compr. pellic.";0.0000;0.0000;0.0000;"36988";"sofosbuvir + velpatasvir oral 400 mg + 100 mg";false;false;;false;false;false;true;false
"1563758";"SAACB";"0016253";"B";"37945-752";"O";"Visipaque 320 mg/1 ml sol. inj./instill. i.v./i.artic./i.théc./i.artér./i.utér./or./rect. [flac.] 1x 65,2g/100ml";;"00093";;1;"x";;;;;0.0000;;;;"R";"b";42.2400;;;;;"sol. inj./instill. i.v./i.artic./i.théc./i.artér./i.utér./or./rect. [flac.]";1068.0000;10.6800;6.3500;"17772";"iodixanol injection/instillation/intra-utérin/oral/rectal 652 mg / 1 ml";false;false;;true;false;false;true;false
"2061547";"GCBA";"0006346";;"29751-604";"O";"Yocoral compr. 100x 5mg";;"00007";;100;"x";;;;;0.0000;;;;"R";;34.7900;;;-- (médicament à déconseiller);;"compr.";34.7900;34.7900;34.7900;"32342";"yohimbine oral 5 mg";false;false;;false;false;false;true;false
"1294586";"SAACA";"0016246";"B";"37937-836";"O";"Xenetix 300 mg/1 ml sol. inj./instill. i.v./i.artic./i.artér./i.card./i.utér. [flac.] 1x 13,16g/20ml";;"00109";;1;"x";;;;;0.0000;;;;"R";"b";13.0500;;;;;"sol. inj./instill. i.v./i.artic./i.artér./i.card./i.utér. [flac.]";260.0000;2.6000;1.5600;"17749";"iobitridol injection/instillation 658 mg / 1 ml";false;false;;true;false;false;true;false
"1700608";"KDCABC";"0010934";"G";"9282-1966";"O";"Epivir compr. pellic. 30x 300mg";;"00004";;30;"x";;;;;0.0000;;;;"R";"a4";65.8900;;;;;"compr. pellic.";0.0000;0.0000;0.0000;"18382";"lamivudine oral 300 mg";false;true;;true;false;false;true;false
"2339612";"BBAB";"0002295";"B";"29348-414";"O";"Wilfactin sol. inj. (pdr+solv.) i.v. [2x flac.] 1000UI";;"00039";;1;"x";;;;"s";10.0000;"ml";;;"R";"a4";899.2200;;;;;"sol. inj. (pdr + solv.) i.v. [2x flac.]";0.0000;0.0000;0.0000;"12203";"facteur von Willebrand injection 1 000 UI [NOVOS: biologique]";false;false;;false;false;false;true;false
"0676593";"JAAA";"0007484";;"29447-1289";"O";"Xanax compr. (séc. en 4) 50x 2mg";;"00150";;50;"x";;;;;0.0000;;;;"R";;33.2700;;;;;"compr. (séc. en 4)";66.5400;33.2700;33.2700;"1271";"alprazolam oral 2 mg";false;false;;false;false;false;true;false
"1256072";"KDCABC";"0010934";"G";"9282-1966";"O";"Epivir compr. pellic. 60x 150mg";;"00004";;60;"x";;;;;0.0000;;;;"R";"a4";65.8900;;;;;"compr. pellic.";0.0000;0.0000;0.0000;"18366";"lamivudine oral 150 mg";false;true;;true;false;false;true;false
"2600575";"MBAA";"0013201";;"9340-1180";"O";"Erbitux 5 mg/1 ml sol. perf. i.v. [flac.] 1x 100mg/20ml";;"00074";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. i.v. [flac.]";0.0000;0.0000;0.0000;"6015";"cétuximab perfusion 100 mg / 20 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"2411262";"SAACA";"0016246";;"37937-836";"O";"Xenetix 350 mg/1 ml sol. inj. i.v./i.artér./i.card. [sac] 1x 383,9g/500ml";;"00115";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. inj. i.v./i.artér./i.card. [sac]";0.0000;0.0000;0.0000;"17756";"iobitridol injection 768 mg / 1 ml";false;false;;true;false;false;true;false
"3456506";"PHA";"0015552";;"37879-273";"O";"Ximaract sol. inj. (pdr) i.camér. [flac.] 1x 50mg";;"00102";;1;"x";;;;;0.0000;;;;"R";;13.7000;;;;;"sol. inj. (pdr) i.camér. [flac.]";1370.0000;13.7000;13.7000;"5827";"céfuroxime injection 50 mg";false;false;;false;false;false;true;false
"0253336";"RBA";"0016139";;"29603-232";"O";"Xylocaine 10 % sol. spray laryngophar./oromuq. 50ml 10mg/1dos.";;"00228";;1;"x";50.0000;"ml";;;0.0000;;;;;;24.3900;;"aussi utilisé en dentisterie; embouts à usage unique supplémentaires à se procurer séparément";;;"sol. spray laryngophar./oromuq.";48.7800;24.3900;24.3900;"19315";"lidocaïne laryngopharyngé/oromuqueux 10 mg / 1 dos. [no switch: local]";false;false;;false;false;false;true;false
"1064237";"RBB";"0018341";;"29603-232";"O";"Xylocaine 2 % gel (unidose) urétr. 10x 200mg/10g";;"00230";;10;"x";;;;;0.0000;;;;;;29.9100;;;;;"gel (unidose) urétr.";299.1000;29.9100;29.9100;"19364";"lidocaïne urétral 20 mg / 1 g [no switch: local]";false;false;;false;false;false;true;false
