"StofCV";"nInNm";"fInNm";"NBase";"NInNmX";"NSaltEstr";"FBase";"FInNmX";"FSaltEstr";"Amb";"Hosp"
"01223";"nafazoline";"naphazoline";"nafazoline";;;"naphazoline";;;true;false
"01224";"nafazoline hydrochloride";"naphazoline chlorhydrate";"nafazoline";;"hydrochloride";"naphazoline";;"chlorhydrate";true;false
"00841";"granisetron";"granisétron";"granisetron";;;"granisétron";;;true;false
"00986";"ketoprofen";"kétoprofène";"ketoprofen";;;"kétoprofène";;;true;false
"00336";"chlooramfenicol";"chloramphénicol";"chlooramfenicol";;;"chloramphénicol";;;true;false
"00337";"chloorbutanol";"chlorobutanol";"chloorbutanol";;;"chlorobutanol";;;true;false
"00015";"acenocoumarol";"acénocoumarol";"acenocoumarol";;;"acénocoumarol";;;true;false
"00018";"acetylcysteïne";"acétylcystéine";"acetylcysteïne";;;"acétylcystéine";;;true;false
"00022";"aciclovir natrium";"aciclovir sodium";"aciclovir";;"natrium";"aciclovir";;"sodium";true;false
"01234";"naltrexon hydrochloride";"naltrexone chlorhydrate";"naltrexon";;"hydrochloride";"naltrexone";;"chlorhydrate";true;false
"00850";"hemine";"hémine";"hemine";"[humaan bloed]";;"hémine";"[sang humain]";;true;false
"01235";"nandrolon";"nandrolone";"nandrolon";;;"nandrolone";;;true;false
"01237";"naproxen";"naproxène";"naproxen";;;"naproxène";;;true;false
"01238";"naproxen natrium";"naproxène sodium";"naproxen";;"natrium";"naproxène";;"sodium";true;false
"01240";"naratriptan hydrochloride";"naratriptan chlorhydrate";"naratriptan";;"hydrochloride";"naratriptan";;"chlorhydrate";true;false
"00363";"ciclopirox olamine";"ciclopirox olamine";"ciclopirox";;"olamine";"ciclopirox";;"olamine";true;false
"01210";"moxifloxacine";"moxifloxacine";"moxifloxacine";;;"moxifloxacine";;;true;false
"00256";"busereline";"buséréline";"busereline";;;"buséréline";;;true;false
"00047";"alfentanil hydrochloride";"alfentanil chlorhydrate";"alfentanil";;"hydrochloride";"alfentanil";;"chlorhydrate";true;false
"00052";"alginaat natrium";"alginate sodium";"alginaat";;"natrium";"alginate";;"sodium";true;false
"00054";"alimemazine tartraat";"alimémazine tartrate";"alimemazine";;"tartraat";"alimémazine";;"tartrate";true;false
"01250";"nefopam";"néfopam";"nefopam";;;"néfopam";;;true;false
"01251";"nefopam hydrochloride";"néfopam chlorhydrate";"nefopam";;"hydrochloride";"néfopam";;"chlorhydrate";true;false
"01252";"nelarabine";"nélarabine";"nelarabine";;;"nélarabine";;;true;false
"01253";"neomycine";"néomycine";"neomycine";;;"néomycine";;;true;false
"01254";"neomycine sulfaat";"néomycine sulfate";"neomycine";;"sulfaat";"néomycine";;"sulfate";true;false
"01255";"neostigmine";"néostigmine";"neostigmine";;;"néostigmine";;;true;false
"00209";"bifonazol";"bifonazole";"bifonazol";;;"bifonazole";;;true;false
"01256";"neostigmine methylsulfaat";"néostigmine méthylsulfate";"neostigmine";;"methylsulfaat";"néostigmine";;"méthylsulfate";true;false
"01259";"nicardipine hydrochloride";"nicardipine chlorhydrate";"nicardipine";;"hydrochloride";"nicardipine";;"chlorhydrate";true;false
"02024";"regorafenib";"régorafénib";"regorafenib";;;"régorafénib";;;true;false
"00392";"clavulaanzuur";"acide clavulanique";"clavulaanzuur";;;"acide clavulanique";;;true;false
"01231";"naloxon";"naloxone";"naloxon";;;"naloxone";;;true;false
"00043";"alendronaat natrium";"alendronate sodium";"alendronaat";;"natrium";"alendronate";;"sodium";true;false
"02123";"canagliflozine";"canagliflozine";"canagliflozine";"watervrij";;"canagliflozine";"anhydre";;true;false
"00314";"ceftriaxon";"ceftriaxone";"ceftriaxon";;;"ceftriaxone";;;true;false
"00343";"chloorhexidine hydrochloride";"chlorhexidine chlorhydrate";"chloorhexidine";;"hydrochloride";"chlorhexidine";;"chlorhydrate";true;false
"01267";"nifedipine";"nifédipine";"nifedipine";;;"nifédipine";;;true;false
"01896";"ingenol mebutaat";"ingénol mébutate";"ingenol";;"mebutaat";"ingénol";;"mébutate";true;false
"01274";"nitisinon";"nitisinone";"nitisinon";;;"nitisinone";;;true;false
"01275";"nitrazepam";"nitrazépam";"nitrazepam";;;"nitrazépam";;;true;false
"01278";"nitrofurantoïne";"nitrofurantoïne";"nitrofurantoïne";;;"nitrofurantoïne";;;true;false
"01280";"nitroglycerine";"nitroglycérine";"nitroglycerine";;;"nitroglycérine";;;true;false
"01281";"nomegestrol";"nomégestrol";"nomegestrol";;;"nomégestrol";;;true;false
"01282";"nomegestrol acetaat";"nomégestrol acétate";"nomegestrol";;"acetaat";"nomégestrol";;"acétate";true;false
"01284";"nordazepam";"nordazépam";"nordazepam";;;"nordazépam";;;true;false
"01285";"norelgestromin";"norelgestromine";"norelgestromin";;;"norelgestromine";;;true;false
"01286";"norepinefrine";"norépinéphrine";"norepinefrine";;;"norépinéphrine";;;true;false
"01287";"norepinefrine waterstoftartraat";"norépinéphrine hydrogénotartrate";"norepinefrine";;"waterstoftartraat";"norépinéphrine";;"hydrogénotartrate";true;false
"01288";"norethisteron";"noréthistérone";"norethisteron";;;"noréthistérone";;;true;false
"01294";"nortriptyline hydrochloride";"nortriptyline chlorhydrate";"nortriptyline";;"hydrochloride";"nortriptyline";;"chlorhydrate";true;false
"01296";"noscapine hydrochloride";"noscapine chlorhydrate";"noscapine";;"hydrochloride";"noscapine";;"chlorhydrate";true;false
"01249";"nebivolol hydrochloride";"nébivolol chlorhydrate";"nebivolol";;"hydrochloride";"nébivolol";;"chlorhydrate";true;false
"01297";"nystatine";"nystatine";"nystatine";"[bacterieel]";;"nystatine";"[bactérien]";;true;false
"01300";"octreotide";"octréotide";"octreotide";;;"octréotide";;;true;false
"02130";"azithromycine";"azithromycine";"azithromycine";"dihydraat";;"azithromycine";"dihydraté";;true;false
"02072";"azithromycine";"azithromycine";"azithromycine";"watervrij";;"azithromycine";"anhydre";;true;false
"00087";"5-aminolevulinezuur";"acide 5-aminolévulinique";"5-aminolevulinezuur";;;"acide 5-aminolévulinique";;;true;false
"00424";"clotiazepam";"clotiazépam";"clotiazepam";;;"clotiazépam";;;true;false
"00425";"clotrimazol";"clotrimazole";"clotrimazol";;;"clotrimazole";;;true;false
"00032";"adenosine";"adénosine";"adenosine";;;"adénosine";;;true;false
"00128";"ascorbaat natrium";"ascorbate sodium";"ascorbaat";;"natrium";"ascorbate";;"sodium";true;false
"01301";"octreotide acetaat";"octréotide acétate";"octreotide";;"acetaat";"octréotide";;"acétate";true;false
"00430";"codeïne";"codéine";"codeïne";;;"codéine";;;true;false
"01308";"olmesartan";"olmésartan";"olmesartan";;;"olmésartan";;;true;false
"01309";"olmesartan medoxomil";"olmésartan médoxomil";"olmesartan";;"medoxomil";"olmésartan";;"médoxomil";true;false
"01311";"olopatadine hydrochloride";"olopatadine chlorhydrate";"olopatadine";;"hydrochloride";"olopatadine";;"chlorhydrate";true;false
"00029";"adapaleen";"adapalène";"adapaleen";;;"adapalène";;;true;false
"01974";"streptomycine";"streptomycine";"streptomycine";;;"streptomycine";;;true;false
"00347";"chloortalidon";"chlortalidone";"chloortalidon";;;"chlortalidone";;;true;false
"00351";"chloralhydraat";"chloral hydrate";"chloralhydraat";;;"chloral hydrate";;;true;false
"00431";"codeïne fosfaat";"codéine phosphate";"codeïne";"hemihydraat";"fosfaat";"codéine";"hémihydraté";"phosphate";true;false
"00368";"cilazapril";"cilazapril";"cilazapril";"monohydraat";;"cilazapril";"monohydraté";;true;false
"00074";"alverine citraat";"alvérine citrate";"alverine";;"citraat";"alvérine";;"citrate";true;false
"00077";"ambroxol hydrochloride";"ambroxol chlorhydrate";"ambroxol";;"hydrochloride";"ambroxol";;"chlorhydrate";true;false
"00188";"benzoylperoxide";"benzoyle peroxyde";"benzoylperoxide";;;"benzoyle peroxyde";;;true;false
"00196";"betamethason";"bétaméthasone";"betamethason";;;"bétaméthasone";;;true;false
"00369";"cimetidine";"cimétidine";"cimetidine";;;"cimétidine";;;true;false
"01314";"omeprazol";"oméprazole";"omeprazol";;;"oméprazole";;;true;false
"01315";"omeprazol magnesium";"oméprazole magnésium";"omeprazol";;"magnesium";"oméprazole";;"magnésium";true;false
"01316";"omeprazol natrium";"oméprazole sodium";"omeprazol";;"natrium";"oméprazole";;"sodium";true;false
"02761";"atogepant";"atogépant";"atogepant";;;"atogépant";;;true;false
"01318";"ondansetron hydrochloride";"ondansétron chlorhydrate";"ondansetron";;"hydrochloride";"ondansétron";;"chlorhydrate";true;false
"01320";"ornidazol";"ornidazole";"ornidazol";;;"ornidazole";;;true;false
"01322";"oseltamivir fosfaat";"oséltamivir phosphate";"oseltamivir";;"fosfaat";"oséltamivir";;"phosphate";true;false
"01892";"gimeracil";"giméracil";"gimeracil";;;"giméracil";;;true;false
"01326";"oxacilline";"oxacilline";"oxacilline";;;"oxacilline";;;true;false
"02127";"docetaxel";"docétaxel";"docetaxel";"trihydraat";;"docétaxel";"trihydraté";;true;false
"02102";"meropenem";"méropénem";"meropenem";"watervrij";;"méropénem";"anhydre";;true;false
"00233";"bosentan";"bosentan";"bosentan";"monohydraat";;"bosentan";"monohydraté";;true;false
"01327";"oxacilline natrium";"oxacilline sodium";"oxacilline";;"natrium";"oxacilline";;"sodium";true;false
"01328";"oxaliplatine";"oxaliplatine";"oxaliplatine";;;"oxaliplatine";;;true;false
"01329";"oxaprozine";"oxaprozine";"oxaprozine";;;"oxaprozine";;;true;false
"01337";"oxybutynine hydrochloride";"oxybutynine chlorhydrate";"oxybutynine";;"hydrochloride";"oxybutynine";;"chlorhydrate";true;false
"00710";"fesoterodine";"fésotérodine";"fesoterodine";;;"fésotérodine";;;true;false
"01338";"oxycodon";"oxycodone";"oxycodon";;;"oxycodone";;;true;false
"01339";"oxycodon hydrochloride";"oxycodone chlorhydrate";"oxycodon";;"hydrochloride";"oxycodone";;"chlorhydrate";true;false
"01340";"oxymetazoline";"oxymétazoline";"oxymetazoline";;;"oxymétazoline";;;true;false
"00105";"ampicilline natrium";"ampicilline sodium";"ampicilline";;"natrium";"ampicilline";;"sodium";true;false
"01341";"oxymetazoline hydrochloride";"oxymétazoline chlorhydrate";"oxymetazoline";;"hydrochloride";"oxymétazoline";;"chlorhydrate";true;false
"01343";"oxytetracycline hydrochloride";"oxytétracycline chlorhydrate";"oxytetracycline";;"hydrochloride";"oxytétracycline";;"chlorhydrate";true;false
"01344";"oxytocine";"oxytocine";"oxytocine";;;"oxytocine";;;true;false
"01350";"palonosetron";"palonosétron";"palonosetron";;;"palonosétron";;;true;false
"01351";"palonosetron hydrochloride";"palonosétron chlorhydrate";"palonosetron";;"hydrochloride";"palonosétron";;"chlorhydrate";true;false
"01352";"pamidroninezuur";"acide pamidronique";"pamidroninezuur";;;"acide pamidronique";;;true;false
"01353";"pamidronaat dinatrium";"pamidronate disodium";"pamidronaat";;"dinatrium";"pamidronate";;"disodium";true;false
"01355";"pantoprazol";"pantoprazole";"pantoprazol";;;"pantoprazole";;;true;false
"01357";"pantotheenzuur";"acide pantothénique";"pantotheenzuur";;;"acide pantothénique";;;true;false
"00048";"alfuzosine";"alfuzosine";"alfuzosine";;;"alfuzosine";;;true;false
"00083";"amikacine";"amikacine";"amikacine";;;"amikacine";;;true;false
"00055";"aliskiren";"aliskirène";"aliskiren";;;"aliskirène";;;true;false
"00088";"amiodaron";"amiodarone";"amiodaron";;;"amiodarone";;;true;false
"00109";"anagrelide";"anagrélide";"anagrelide";;;"anagrélide";;;true;false
"00056";"aliskiren hemifumaraat";"aliskirène hémifumarate";"aliskiren";;"hemifumaraat";"aliskirène";;"hémifumarate";true;false
"00138";"atorvastatine calcium";"atorvastatine calcium";"atorvastatine";"trihydraat";"calcium";"atorvastatine";"trihydraté";"calcium";true;false
"00086";"amiloride hydrochloride";"amiloride chlorhydrate";"amiloride";"dihydraat";"hydrochloride";"amiloride";"dihydraté";"chlorhydrate";true;false
"00064";"almotriptan waterstofmalaat";"almotriptan hydrogénomalate";"almotriptan";;"waterstofmalaat";"almotriptan";;"hydrogénomalate";true;false
"01358";"pantothenaat calcium";"pantothénate calcium";"pantothenaat";;"calcium";"pantothénate";;"calcium";true;false
"00719";"flavivirus (geïnactiveerd)";"flavivirus (inactivés)";"flavivirus";"geïnactiveerd [biologisch, viraal]";;"flavivirus";"inactivés [biologique, viral]";;true;false
"01359";"pantothenaat natrium";"pantothénate sodium";"pantothenaat";;"natrium";"pantothénate";;"sodium";true;false
"01361";"papaverine";"papavérine";"papaverine";;;"papavérine";;;true;false
"02527";"filgotinib maleaat";"filgotinib maléate";"filgotinib";;"maleaat";"filgotinib";;"maléate";true;false
"01362";"papaverine hydrochloride";"papavérine chlorhydrate";"papaverine";;"hydrochloride";"papavérine";;"chlorhydrate";true;false
"00207";"bezafibraat";"bézafibrate";"bezafibraat";;;"bézafibrate";;;true;false
"01392";"pentazocine hydrochloride";"pentazocine chlorhydrate";"pentazocine";;"hydrochloride";"pentazocine";;"chlorhydrate";true;false
"02026";"secukinumab";"sécukinumab";"secukinumab";"[biologisch, biosynthetisch]";;"sécukinumab";"[biologique, biosynthétique]";;true;false
"02016";"articaïne";"articaïne";"articaïne";;;"articaïne";;;true;false
"00169";"bazedoxifeen";"bazédoxifène";"bazedoxifeen";;;"bazédoxifène";;;true;false
"00338";"chloorfenamine";"chlorphénamine";"chloorfenamine";;;"chlorphénamine";;;true;false
"00009";"acamprosaat";"acamprosate";"acamprosaat";;;"acamprosate";;;true;false
"00140";"atosiban acetaat";"atosiban acétate";"atosiban";;"acetaat";"atosiban";;"acétate";true;false
"00435";"colecalciferol";"colécalciférol";"colecalciferol";;;"colécalciférol";;;true;false
"00531";"dimetindeen";"dimétindène";"dimetindeen";;;"dimétindène";;;true;false
"01394";"pentoxyverine";"pentoxyvérine";"pentoxyverine";;;"pentoxyvérine";;;true;false
"01396";"perindopril";"périndopril";"perindopril";;;"périndopril";;;true;false
"01398";"perindopril tert-butylamine";"périndopril tert-butylamine";"perindopril";;"tert-butylamine";"périndopril";;"tert-butylamine";true;false
"01399";"permethrine";"perméthrine";"permethrine";;;"perméthrine";;;true;false
"01838";"vinorelbine tartraat";"vinorelbine tartrate";"vinorelbine";;"tartraat";"vinorelbine";;"tartrate";true;false
"01400";"perubalsem";"baume du Pérou";"perubalsem";"[plantaardig]";;"baume du Pérou";"[végétal]";;true;false
"01401";"picosulfaat natrium";"picosulfate sodium";"picosulfaat";;"natrium";"picosulfate";;"sodium";true;false
"01404";"pimecrolimus";"pimécrolimus";"pimecrolimus";;;"pimécrolimus";;;true;false
"01407";"pioglitazon";"pioglitazone";"pioglitazon";;;"pioglitazone";;;true;false
"00153";"azelastine";"azélastine";"azelastine";;;"azélastine";;;true;false
"00183";"benzethonium";"benzéthonium";"benzethonium";;;"benzéthonium";;;true;false
"00179";"benserazide";"bensérazide";"benserazide";;;"bensérazide";;;true;false
"00156";"azithromycine";"azithromycine";"azithromycine";"monohydraat";;"azithromycine";"monohydraté";;true;false
"00171";"beclometason";"béclométasone";"beclometason";;;"béclométasone";;;true;false
"00170";"bazedoxifeen acetaat";"bazédoxifène acétate";"bazedoxifeen";;"acetaat";"bazédoxifène";;"acétate";true;false
"00654";"ethylmorfine";"éthylmorphine";"ethylmorfine";;;"éthylmorphine";;;true;false
"00084";"amikacine sulfaat";"amikacine sulfate";"amikacine";;"sulfaat";"amikacine";;"sulfate";true;false
"00092";"amitriptyline hydrochloride";"amitriptyline chlorhydrate";"amitriptyline";;"hydrochloride";"amitriptyline";;"chlorhydrate";true;false
"01030";"levobunolol hydrochloride";"lévobunolol chlorhydrate";"levobunolol";;"hydrochloride";"lévobunolol";;"chlorhydrate";true;false
"01408";"pioglitazon hydrochloride";"pioglitazone chlorhydrate";"pioglitazon";;"hydrochloride";"pioglitazone";;"chlorhydrate";true;false
"01165";"methylprednisolon natriumsuccinaat";"méthylprednisolone succinate sodique";"methylprednisolon";;"natriumsuccinaat";"méthylprednisolone";;"succinate sodique";true;false
"01890";"eribuline";"éribuline";"eribuline";;;"éribuline";;;true;false
"01889";"dapoxetine";"dapoxétine";"dapoxetine";;;"dapoxétine";;;true;false
"01412";"piperacilline natrium";"pipéracilline sodium";"piperacilline";;"natrium";"pipéracilline";;"sodium";true;false
"01414";"piperonylbutoxide";"pipéronyle butoxyde";"piperonylbutoxide";;;"pipéronyle butoxyde";;;true;false
"01415";"piracetam";"piracétam";"piracetam";;;"piracétam";;;true;false
"01416";"pirfenidon";"pirfénidone";"pirfenidon";;;"pirfénidone";;;true;false
"01888";"dabrafenib mesilaat";"dabrafénib mésilate";"dabrafenib";;"mesilaat";"dabrafénib";;"mésilate";true;false
"01419";"piroxicam betadex";"piroxicam bétadex";"piroxicam";;"betadex";"piroxicam";;"bétadex";true;false
"00189";"benzylpenicilline";"benzylpénicilline";"benzylpenicilline";;;"benzylpénicilline";;;true;false
"01972";"parabenen";"parabènes";"parabenen";;;"parabènes";;;true;false
"01013";"lanthaan carbonaat";"lanthane carbonate";"lanthaan";"gehydrateerd";"carbonaat";"lanthane";"hydraté";"carbonate";true;false
"00981";"kaneel";"cannelle";"kaneel";"[plantaardig]";;"cannelle";"[végétal]";;true;false
"00206";"bexaroteen";"bexarotène";"bexaroteen";;;"bexarotène";;;true;false
"00210";"bijengif";"venin d'abeille";"bijengif";"[bij, biologisch]";;"venin d'abeille";"[abeille, biologique]";;true;false
"00458";"d-α-tocoferol";"d-α-tocophérol";"d-α-tocoferol";;;"d-α-tocophérol";;;true;false
"00432";"coffeïne";"caféine";"coffeïne";;;"caféine";;;true;false
"00234";"botulinetoxine type A";"toxine botulique type A";"botulinetoxine type A";"[bacterieel, biologisch]";;"toxine botulique type A";"[bactérien, biologique]";;true;false
"00229";"borax";"borax";"borax";;;"borax";;;true;false
"00320";"celiprolol";"céliprolol";"celiprolol";;;"céliprolol";;;true;false
"00371";"cinacalcet hydrochloride";"cinacalcet chlorhydrate";"cinacalcet";;"hydrochloride";"cinacalcet";;"chlorhydrate";true;false
"00441";"collagenase";"collagénase";"collagenase";"[bacterieel, biologisch]";;"collagénase";"[bactérien, biologique]";;true;false
"01423";"Plantago ovata (zaad)";"Plantago ovata (graine)";"Plantago ovata";"zaad Forsk [plantaardig]";;"Plantago ovata";"graine Forsk [végétal]";;true;false
"01424";"Plantago ovata (zaadvlies)";"Plantago ovata (tégument de la graine)";"Plantago ovata";"zaadvlies Forsk [plantaardig]";;"Plantago ovata";"tégument de la graine Forsk [végétal]";;true;false
"01426";"plerixafor";"plérixafor";"plerixafor";;;"plérixafor";;;true;false
"01430";"pneumokokken, 23 types (polysachariden)";"pneumocoques, 23 types (polysaccharides)";"pneumokokken, 23 types";"polysachariden [bacterieel, biologisch]";;"pneumocoques, 23 types";"polysaccharides [bactérien, biologique]";;true;false
"01432";"poliomyelitisvirus types I, II, III (geïnactiveerd)";"virus de la poliomyélite types I, II, III (inactivés)";"poliomyelitisvirus types I, II, III";"geïnactiveerd [biologisch, viraal]";;"virus de la poliomyélite types I, II, III";"inactivés [biologique, viral]";;true;false
"01434";"polymyxine B";"polymyxine B";"polymyxine B";"[bacterieel]";;"polymyxine B";"[bactérien]";;true;false
"01436";"polystyreensulfonaat calcium";"polystyrène sulfonate calcium";"polystyreensulfonaat";;"calcium";"polystyrène sulfonate";;"calcium";true;false
"01437";"polystyreensulfonaat natrium";"polystyrène sulfonate sodium";"polystyreensulfonaat";;"natrium";"polystyrène sulfonate";;"sodium";true;false
"01438";"polyvinylalcohol";"alcool polyvinylique";"polyvinylalcohol";;;"alcool polyvinylique";;;true;false
"01439";"posaconazol";"posaconazole";"posaconazol";;;"posaconazole";;;true;false
"01440";"povidon";"povidone";"povidon";;;"povidone";;;true;false
"01441";"povidon-jood";"povidone iodée";"povidon-jood";;;"povidone iodée";;;true;false
"01442";"pramipexol";"pramipexole";"pramipexol";;;"pramipexole";;;true;false
"01444";"pramocaïne";"pramocaïne";"pramocaïne";;;"pramocaïne";;;true;false
"00983";"ketamine";"kétamine";"ketamine";;;"kétamine";;;true;false
"01161";"nicotinaat methyl";"nicotinate méthyle";"nicotinaat";;"methyl";"nicotinate";;"méthyle";true;false
"01166";"salicylaat methyl";"salicylate méthyle";"salicylaat";;"methyl";"salicylate";;"méthyle";true;false
"01246";"monofluorofosfaat natrium";"monofluorophosphate sodium";"monofluorofosfaat";;"natrium";"monofluorophosphate";;"sodium";true;false
"01450";"pravastatine natrium";"pravastatine sodium";"pravastatine";;"natrium";"pravastatine";;"sodium";true;false
"01452";"prazosine";"prazosine";"prazosine";;;"prazosine";;;true;false
"01454";"prednisolon";"prednisolone";"prednisolon";;;"prednisolone";;;true;false
"00467";"dantroleen";"dantrolène";"dantroleen";;;"dantrolène";;;true;false
"02021";"dasabuvir natrium";"dasabuvir sodium";"dasabuvir";"monohydraat";"natrium";"dasabuvir";"monohydraté";"sodium";true;false
"02121";"zoledroninezuur";"acide zolédronique";"zoledroninezuur";"watervrij";;"acide zolédronique";"anhydre";;true;false
"00414";"cloperastine";"clopérastine";"cloperastine";;;"clopérastine";;;true;false
"00460";"dabigatran etexilaat";"dabigatran étexilate";"dabigatran";;"etexilaat";"dabigatran";;"étexilate";true;false
"00471";"darifenacine";"darifénacine";"darifenacine";;;"darifénacine";;;true;false
"00474";"darunavir ethanolaat";"darunavir éthanolate";"darunavir";;"ethanolaat";"darunavir";;"éthanolate";true;false
"01455";"prednisolon acetaat";"prednisolone acétate";"prednisolon";;"acetaat";"prednisolone";;"acétate";true;false
"01457";"prednison";"prednisone";"prednison";;;"prednisone";;;true;false
"01458";"pregabaline";"prégabaline";"pregabaline";;;"prégabaline";;;true;false
"01459";"prilocaïne";"prilocaïne";"prilocaïne";;;"prilocaïne";;;true;false
"01460";"prilocaïne hydrochloride";"prilocaïne chlorhydrate";"prilocaïne";;"hydrochloride";"prilocaïne";;"chlorhydrate";true;false
"01461";"primidon";"primidone";"primidon";;;"primidone";;;true;false
"01463";"procaïne hydrochloride";"procaïne chlorhydrate";"procaïne";;"hydrochloride";"procaïne";;"chlorhydrate";true;false
"01465";"procyclidine hydrochloride";"procyclidine chlorhydrate";"procyclidine";;"hydrochloride";"procyclidine";;"chlorhydrate";true;false
"01466";"progesteron";"progestérone";"progesteron";;;"progestérone";;;true;false
"00422";"clorofeen";"clorofène";"clorofeen";;;"clorofène";;;true;false
"01496";"pseudo-efedrine hydrochloride";"pseudoéphédrine chlorhydrate";"pseudo-efedrine";;"hydrochloride";"pseudoéphédrine";;"chlorhydrate";true;false
"01470";"proguanil hydrochloride";"proguanil chlorhydrate";"proguanil";;"hydrochloride";"proguanil";;"chlorhydrate";true;false
"01471";"promethazine";"prométhazine";"promethazine";;;"prométhazine";;;true;false
"01472";"promethazine hydrochloride";"prométhazine chlorhydrate";"promethazine";;"hydrochloride";"prométhazine";;"chlorhydrate";true;false
"01473";"propafenon";"propafénone";"propafenon";;;"propafénone";;;true;false
"01474";"propafenon hydrochloride";"propafénone chlorhydrate";"propafenon";;"hydrochloride";"propafénone";;"chlorhydrate";true;false
"01476";"propiverine";"propivérine";"propiverine";;;"propivérine";;;true;false
"01477";"propiverine hydrochloride";"propivérine chlorhydrate";"propiverine";;"hydrochloride";"propivérine";;"chlorhydrate";true;false
"01480";"propranolol hydrochloride";"propranolol chlorhydrate";"propranolol";;"hydrochloride";"propranolol";;"chlorhydrate";true;false
"01481";"propylthiouracil";"propylthiouracile";"propylthiouracil";;;"propylthiouracile";;;true;false
"00481";"deferipron";"défériprone";"deferipron";;;"défériprone";;;true;false
"00483";"deferoxamine mesilaat";"déferoxamine mésilate";"deferoxamine";;"mesilaat";"déferoxamine";;"mésilate";true;false
"00094";"amlodipine besilaat";"amlodipine bésilate";"amlodipine";;"besilaat";"amlodipine";;"bésilate";true;false
"00095";"amlodipine maleaat";"amlodipine maléate";"amlodipine";;"maleaat";"amlodipine";;"maléate";true;false
"00100";"amorolfine hydrochloride";"amorolfine chlorhydrate";"amorolfine";;"hydrochloride";"amorolfine";;"chlorhydrate";true;false
"00102";"amoxicilline natrium";"amoxicilline sodium";"amoxicilline";;"natrium";"amoxicilline";;"sodium";true;false
"00103";"amoxicilline natrium en base";"amoxicilline sodium et base";"amoxicilline";;"natrium en base";"amoxicilline";;"sodium et base";true;false
"00143";"atracurium besilaat";"atracurium bésilate";"atracurium";;"besilaat";"atracurium";;"bésilate";true;false
"00184";"benzethonium chloride";"benzéthonium chlorure";"benzethonium";;"chloride";"benzéthonium";;"chlorure";true;false
"00223";"bivalirudine";"bivalirudine";"bivalirudine";;;"bivalirudine";;;true;false
"00486";"denosumab";"dénosumab";"denosumab";"[biologisch, biosynthetisch]";;"dénosumab";"[biologique, biosynthétique]";;true;false
"00488";"dequalinium chloride";"déqualinium chlorure";"dequalinium";;"chloride";"déqualinium";;"chlorure";true;false
"00475";"dasatinib";"dasatinib";"dasatinib";"monohydraat";;"dasatinib";"monohydraté";;true;false
"00191";"benzylpenicilline natrium";"benzylpénicilline sodium";"benzylpenicilline";;"natrium";"benzylpénicilline";;"sodium";true;false
"00490";"desmopressine";"desmopressine";"desmopressine";;;"desmopressine";;;true;false
"02083";"entecavir";"entécavir";"entecavir";"watervrij";;"entécavir";"anhydre";;true;false
"00482";"deferoxamine";"déferoxamine";"deferoxamine";;;"déferoxamine";;;true;false
"00487";"dequalinium";"déqualinium";"dequalinium";;;"déqualinium";;;true;false
"00516";"difenhydramine";"diphenhydramine";"difenhydramine";;;"diphenhydramine";;;true;false
"00520";"diflucortolon";"diflucortolone";"diflucortolon";;;"diflucortolone";;;true;false
"00524";"dihydro-ergotamine";"dihydroergotamine";"dihydro-ergotamine";;;"dihydroergotamine";;;true;false
"00526";"dihydrocodeïne";"dihydrocodéine";"dihydrocodeïne";;;"dihydrocodéine";;;true;false
"01483";"protamine hydrochloride";"protamine chlorhydrate";"protamine";"[biologisch, zalmsperma]";"hydrochloride";"protamine";"[biologique, sperme de saumon]";"chlorhydrate";true;false
"01484";"protamine sulfaat";"protamine sulfate";"protamine";"[biologisch, zalmsperma]";"sulfaat";"protamine";"[biologique, sperme de saumon]";"sulfate";true;false
"01485";"protease";"protéase";"protease";"[biologisch, pancreas varken]";;"protéase";"[biologique, pancréas de porc]";;true;false
"01486";"proteïne C";"protéine C";"proteïne C";"[biologisch, humaan plasma]";;"protéine C";"[biologique, plasma humain]";;true;false
"01487";"proteïne S";"protéine S";"proteïne S";"[biologisch, humaan plasma]";;"protéine S";"[biologique, plasma humain]";;true;false
"01491";"proxymetacaïne";"proxymétacaïne";"proxymetacaïne";;;"proxymétacaïne";;;true;false
"01492";"proxymetacaïne hydrochloride";"proxymétacaïne chlorhydrate";"proxymetacaïne";;"hydrochloride";"proxymétacaïne";;"chlorhydrate";true;false
"02762";"gozetotide";"gozétotide";"gozetotide";;;"gozétotide";;;true;false
"00058";"allergeenextract van pollen van 1 grassoort";"extrait allergénique de pollen de 1 graminée";"allergeenextract van pollen van 1 grassoort";"Phleum pratense [biologisch, plantaardig]";;"extrait allergénique de pollen de 1 graminée";"Phleum pratense [biologique, végétal]";;true;false
"01495";"pseudo-efedrine";"pseudoéphédrine";"pseudo-efedrine";;;"pseudoéphédrine";;;true;false
"01497";"pseudo-efedrine sulfaat";"pseudoéphédrine sulfate";"pseudo-efedrine";;"sulfaat";"pseudoéphédrine";;"sulfate";true;false
"01503";"pyrimethamine";"pyriméthamine";"pyrimethamine";;;"pyriméthamine";;;true;false
"01504";"quetiapine";"quétiapine";"quetiapine";;;"quétiapine";;;true;false
"01505";"quetiapine fumaraat";"quétiapine fumarate";"quetiapine";;"fumaraat";"quétiapine";;"fumarate";true;false
"01599";"selenium sulfide";"sélénium sulfure";"selenium";;"sulfide";"sélénium";;"sulfure";true;false
